Protein,Mean_Tumor,Mean_Normal,Fold_Change,P_Value,T_Statistic,Significant,Direction,-log10_pval
VEGFA,11.413,5.432,5.98,1.1133756571297317e-16,13.162,True,Upregulated,15.953358278349544
HER2,11.196,6.224,4.972,3.882777714524844e-15,11.853,True,Upregulated,14.410857471704416
MYC,11.689,6.058,5.631,4.136429415994114e-15,11.831,True,Upregulated,14.383374382071722
EGFR,10.77,5.984,4.786,8.210348959149093e-14,10.788,True,Upregulated,13.08563838395094
MKI67,10.733,6.01,4.723,5.12537543278663e-13,10.172,True,Upregulated,12.290274317117909
MMP9,10.777,5.991,4.786,8.847299789027785e-13,9.992,True,Upregulated,12.053189256495395
PROT_050,8.654,5.712,2.942,1.3989847925487864e-11,9.099,True,Upregulated,10.854187006414564
CD44,10.57,5.895,4.674,1.4904868384910992e-11,9.079,True,Upregulated,10.82667185458333
EPCAM,10.363,5.989,4.375,5.049354675516457e-10,7.981,True,Upregulated,9.296764122627996
PROT_108,8.638,5.96,2.677,5.924147127507994e-10,7.932,True,Upregulated,9.227374164217101
PROT_075,8.521,5.589,2.931,1.328633498853175e-09,7.685,True,Upregulated,8.876594801884174
PROT_032,8.562,5.84,2.722,9.93490079903759e-09,7.078,True,Upregulated,8.002836465005668
PROT_093,8.517,5.828,2.689,2.4657889214715073e-08,6.805,True,Upregulated,7.608044102989142
PROT_079,8.033,5.256,2.777,2.4790470330566443e-08,6.804,True,Upregulated,7.60571523361814
PROT_009,8.275,5.58,2.694,3.875297307220477e-08,6.67,True,Upregulated,7.411694973433219
PROT_080,8.191,5.812,2.379,4.1478193792592645e-08,6.65,True,Upregulated,7.3821801636376065
PROT_121,8.049,5.365,2.684,5.337407506601534e-08,6.574,True,Upregulated,7.2726696379098925
PROT_060,8.327,5.853,2.474,5.8037753417575064e-08,6.549,True,Upregulated,7.236289407006765
PROT_010,8.107,5.628,2.479,7.137387407114372e-08,6.488,True,Upregulated,7.146460729723975
PROT_084,8.158,5.76,2.398,7.390974543032703e-08,6.477,True,Upregulated,7.131298293573102
